node,x,y,OPERATOR,LEVEL0 BS
BS1,0,0,0,-1
BS1,0,0,0,-1
BS1,0,0,0,-1
BS1,999.364,0,0,-1
BS1,999.364,0,0,-1
BS1,999.364,0,0,-1
BS1,499.682,-865.5,0,-1
BS1,499.682,-865.5,0,-1
BS1,499.682,-865.5,0,-1
BS1,-499.682,-865.5,0,-1
BS1,-499.682,-865.5,0,-1
BS1,-499.682,-865.5,0,-1
BS1,-999.364,0,0,-1
BS1,-999.364,0,0,-1
BS1,-999.364,0,0,-1
BS1,-499.682,865.5,0,-1
BS1,-499.682,865.5,0,-1
BS1,-499.682,865.5,0,-1
BS1,499.682,865.5,0,-1
BS1,499.682,865.5,0,-1
BS1,499.682,865.5,0,-1
BS1,1998.73,0,0,-1
BS1,1998.73,0,0,-1
BS1,1998.73,0,0,-1
BS1,1499.05,-865.5,0,-1
BS1,1499.05,-865.5,0,-1
BS1,1499.05,-865.5,0,-1
BS1,999.364,-1731,0,-1
BS1,999.364,-1731,0,-1
BS1,999.364,-1731,0,-1
BS1,0,-1731,0,-1
BS1,0,-1731,0,-1
BS1,0,-1731,0,-1
BS1,-999.364,-1731,0,-1
BS1,-999.364,-1731,0,-1
BS1,-999.364,-1731,0,-1
BS1,-1499.05,-865.5,0,-1
BS1,-1499.05,-865.5,0,-1
BS1,-1499.05,-865.5,0,-1
BS1,-1998.73,0,0,-1
BS1,-1998.73,0,0,-1
BS1,-1998.73,0,0,-1
BS1,-1499.05,865.5,0,-1
BS1,-1499.05,865.5,0,-1
BS1,-1499.05,865.5,0,-1
BS1,-999.364,1731,0,-1
BS1,-999.364,1731,0,-1
BS1,-999.364,1731,0,-1
BS1,0,1731,0,-1
BS1,0,1731,0,-1
BS1,0,1731,0,-1
BS1,999.364,1731,0,-1
BS1,999.364,1731,0,-1
BS1,999.364,1731,0,-1
BS1,1499.05,865.5,0,-1
BS1,1499.05,865.5,0,-1
BS1,1499.05,865.5,0,-1
BS2,49.5515,-256.564,1,-1
BS2,49.5515,-256.564,1,-1
BS2,49.5515,-256.564,1,-1
BS2,983.455,272.709,1,-1
BS2,983.455,272.709,1,-1
BS2,983.455,272.709,1,-1
BS2,658.786,-1019.12,1,-1
BS2,658.786,-1019.12,1,-1
BS2,658.786,-1019.12,1,-1
BS2,-808.919,-772.73,1,-1
BS2,-808.919,-772.73,1,-1
BS2,-808.919,-772.73,1,-1
BS2,-993.541,345.38,1,-1
BS2,-993.541,345.38,1,-1
BS2,-993.541,345.38,1,-1
BS2,-688.722,587.255,1,-1
BS2,-688.722,587.255,1,-1
BS2,-688.722,587.255,1,-1
BS2,665.665,930.278,1,-1
BS2,665.665,930.278,1,-1
BS2,665.665,930.278,1,-1
BS2,2339.18,3.02617,1,-1
BS2,2339.18,3.02617,1,-1
BS2,2339.18,3.02617,1,-1
BS2,1676.07,-718.683,1,-1
BS2,1676.07,-718.683,1,-1
BS2,1676.07,-718.683,1,-1
BS2,886.843,-1975.8,1,-1
BS2,886.843,-1975.8,1,-1
BS2,886.843,-1975.8,1,-1
BS2,-55.1749,-1954.8,1,-1
BS2,-55.1749,-1954.8,1,-1
BS2,-55.1749,-1954.8,1,-1
BS2,-1232.89,-1731.03,1,-1
BS2,-1232.89,-1731.03,1,-1
BS2,-1232.89,-1731.03,1,-1
BS2,-1224.37,-863.893,1,-1
BS2,-1224.37,-863.893,1,-1
BS2,-1224.37,-863.893,1,-1
BS2,-2145.1,-94.3972,1,-1
BS2,-2145.1,-94.3972,1,-1
BS2,-2145.1,-94.3972,1,-1
BS2,-1432.89,530.884,1,-1
BS2,-1432.89,530.884,1,-1
BS2,-1432.89,530.884,1,-1
BS2,-745.098,1696.72,1,-1
BS2,-745.098,1696.72,1,-1
BS2,-745.098,1696.72,1,-1
BS2,34.9967,2021.5,1,-1
BS2,34.9967,2021.5,1,-1
BS2,34.9967,2021.5,1,-1
BS2,920.95,2009.09,1,-1
BS2,920.95,2009.09,1,-1
BS2,920.95,2009.09,1,-1
BS2,1666.1,733.849,1,-1
BS2,1666.1,733.849,1,-1
BS2,1666.1,733.849,1,-1
BS3,-8.03282,217.154,2,-1
BS3,-8.03282,217.154,2,-1
BS3,-8.03282,217.154,2,-1
BS3,875.651,-22.5684,2,-1
BS3,875.651,-22.5684,2,-1
BS3,875.651,-22.5684,2,-1
BS3,339.514,-1019.65,2,-1
BS3,339.514,-1019.65,2,-1
BS3,339.514,-1019.65,2,-1
BS3,-371.289,-1176.6,2,-1
BS3,-371.289,-1176.6,2,-1
BS3,-371.289,-1176.6,2,-1
BS3,-1243.01,-7.2933,2,-1
BS3,-1243.01,-7.2933,2,-1
BS3,-1243.01,-7.2933,2,-1
BS3,-252.629,1093.3,2,-1
BS3,-252.629,1093.3,2,-1
BS3,-252.629,1093.3,2,-1
BS3,303.126,649.619,2,-1
